num,init_val,fixed point num,val
0,fixed,0,0
1,fixed,1,0
2,cycle,,11100
3,cycle,,11100
4,cycle,,11100
5,cycle,,11100
6,cycle,,11100
7,cycle,,11100
8,cycle,,11100
9,cycle,,11100
10,cycle,,11100
11,cycle,,11100
12,cycle,,11100
13,cycle,,11100
14,cycle,,11100
15,cycle,,11100
16,cycle,,11100
17,cycle,,11100
18,fixed,2,1010011
19,fixed,3,1010011
20,fixed,4,1010011
21,fixed,5,1010011
22,fixed,6,1010011
23,fixed,7,1010011
24,cycle,,11100
25,fixed,8,1010011
26,fixed,9,1010011
27,fixed,10,1010011
28,cycle,,11100
29,fixed,11,1010011
30,fixed,12,1010011
31,fixed,13,1010011
32,cycle,,11100
33,cycle,,11100
34,fixed,14,1010011
35,fixed,15,1010011
36,fixed,16,1010011
37,fixed,17,1010011
38,fixed,18,1010011
39,fixed,19,1010011
40,cycle,,11100
41,fixed,20,1010011
42,fixed,21,1010011
43,fixed,22,1010011
44,cycle,,10110010
45,fixed,23,1010011
46,fixed,24,1010011
47,fixed,25,1010011
48,cycle,,11100
49,cycle,,11100
50,fixed,26,1010011
51,fixed,27,1010011
52,fixed,28,1010011
53,fixed,29,1010011
54,fixed,30,1010011
55,fixed,31,1010011
56,cycle,,11100
57,fixed,32,1010011
58,fixed,33,1010011
59,fixed,34,1010011
60,cycle,,10110010
61,fixed,35,1010011
62,fixed,36,1010011
63,fixed,37,1010011
64,cycle,,11100
65,fixed,38,0
66,cycle,,11100
67,cycle,,11100
68,cycle,,11100
69,cycle,,11100
70,cycle,,11100
71,cycle,,11100
72,cycle,,11100
73,cycle,,11100
74,cycle,,11100
75,cycle,,11100
76,cycle,,11100
77,cycle,,11100
78,cycle,,11100
79,cycle,,11100
80,cycle,,11100
81,cycle,,11100
82,fixed,39,1010011
83,fixed,40,1010011
84,cycle,,11100
85,fixed,41,1010011
86,fixed,42,1010011
87,fixed,43,1010011
88,cycle,,11100
89,fixed,44,1010011
90,fixed,45,1010011
91,fixed,46,1010011
92,cycle,,10110010
93,fixed,47,1010011
94,fixed,48,1010011
95,fixed,49,1010011
96,cycle,,11100
97,cycle,,11100
98,fixed,50,1010011
99,fixed,51,1010011
100,cycle,,11100
101,fixed,52,1010011
102,fixed,53,1010011
103,fixed,54,1010011
104,cycle,,11100
105,fixed,55,1010011
106,fixed,56,1010011
107,fixed,57,1010011
108,cycle,,10110010
109,fixed,58,1010011
110,fixed,59,1010011
111,fixed,60,1010011
112,cycle,,11100
113,cycle,,11100
114,fixed,61,1010011
115,fixed,62,1010011
116,cycle,,11100
117,fixed,63,1010011
118,fixed,64,1010011
119,fixed,65,1010011
120,cycle,,11100
121,fixed,66,1010011
122,fixed,67,1010011
123,fixed,68,1010011
124,cycle,,10110010
125,fixed,69,1010011
126,fixed,70,1010011
127,fixed,71,1010011
128,cycle,,11100
129,cycle,,11100
130,cycle,,11100
131,cycle,,11100
132,cycle,,11100
133,cycle,,11100
134,cycle,,11100
135,cycle,,11100
136,cycle,,11100
137,fixed,72,1010011
138,cycle,,11100
139,cycle,,11100
140,cycle,,11100
141,fixed,73,1010011
142,cycle,,11100
143,cycle,,11100
144,cycle,,11100
145,cycle,,11100
146,cycle,,11100
147,cycle,,11100
148,cycle,,11100
149,cycle,,11100
150,cycle,,11100
151,cycle,,11100
152,cycle,,11100
153,fixed,74,1010011
154,cycle,,11100
155,cycle,,11100
156,cycle,,11100
157,fixed,75,1010011
158,cycle,,11100
159,cycle,,11100
160,cycle,,11100
161,cycle,,11100
162,cycle,,11100
163,cycle,,11100
164,cycle,,11100
165,cycle,,11100
166,cycle,,11100
167,cycle,,11100
168,cycle,,11100
169,fixed,76,1010011
170,cycle,,11100
171,cycle,,11100
172,cycle,,11100
173,fixed,77,1010011
174,cycle,,11100
175,cycle,,11100
176,cycle,,11100
177,cycle,,11100
178,cycle,,10110010
179,cycle,,11100
180,cycle,,11100
181,cycle,,11100
182,cycle,,11100
183,cycle,,11100
184,cycle,,11100
185,fixed,78,1010011
186,cycle,,11100
187,cycle,,11100
188,cycle,,11100
189,fixed,79,1010011
190,cycle,,11100
191,cycle,,11100
192,cycle,,11100
193,cycle,,11100
194,fixed,80,1010011
195,fixed,81,1010011
196,cycle,,11100
197,cycle,,11100
198,fixed,82,1010011
199,fixed,83,1010011
200,cycle,,11100
201,fixed,84,1010011
202,fixed,85,1010011
203,fixed,86,1010011
204,cycle,,11100
205,fixed,87,1010011
206,fixed,88,1010011
207,fixed,89,1010011
208,cycle,,11100
209,cycle,,11100
210,fixed,90,1010011
211,fixed,91,1010011
212,cycle,,11100
